DAY,1
days,1
DD,1
month,30
months,30
mm,30
year,365
YEARS,365
yrs,365
YYYY,365
hour,0.041666667
hours,0.041666667
hr,0.041666667
HRS,0.041666667
minute,0.000694444
minutes,0.000694444
min,0.000694444
mins,0.000694444
DAY,1
days,1
dd,1
month,30
months,30
MM,30
year,365
YEARS,365
YRS,365
yyyy,365
hour,0.041666667
hours,0.041666667
hr,0.041666667
HRS,0.041666667
minute,0.000694444
MINUTEs,0.000694444
min,0.000694444
mins,0.000694444
DAY,1
days,1
dd,1
month,30
months,30
mm,30
YEAR,365
years,365
YRS,365
yyyy,365
hour,0.041666667
hours,0.041666667
hr,0.041666667
HRS,0.041666667
MINUTE,0.000694444
minutes,0.000694444
MIN,0.000694444
mins,0.000694444
day,1
days,1
dd,1
month,30
months,30
MM,30
year,365
years,365
YRS,365
yyyy,365
hour,0.041666667
hours,0.041666667
hr,0.041666667
hrs,0.041666667
MINUTE,0.000694444
minutes,0.000694444
MIN,0.000694444
mins,0.000694444
day,1
days,1
DD,1
month,30
months,30
mm,30
year,365
years,365
yrs,365
YYYY,365
hour,0.041666667
hours,0.041666667
hr,0.041666667
hrs,0.041666667
minute,0.000694444
minutes,0.000694444
min,0.000694444
mins,0.000694444
day,1
days,1
DD,1
month,30
months,30
MM,30
YEAR,365
YEARS,365
yrs,365
YYYY,365
hour,0.041666667
hours,0.041666667
hr,0.041666667
HRS,0.041666667
minute,0.000694444
minutes,0.000694444
min,0.000694444
mins,0.000694444